image,style,color1,color2,color3,color4,color5,color6,color7
147054.png,cubism,#0d0b0e,#636b58,#75c589,#c22e0c,#c5800c,#cdc9ab,#eedf18
41278.png,cubism,#311c25,#8e483d,#a37d5b,#c4ac71,#dae0ad,#ef7c51,#fefaae
375393.png,cubism,#c0a589,#cfab89,#dabb9f,#dcb383,#e6bb83,#e7c8af,#e8c598
205001.png,cubism,#484959,#6da57c,#7c6a27,#7f7c90,#c3b15c,#cd9319,#dde1d1
345985.png,cubism,#342020,#6c4c4c,#9d7362,#a78d83,#c6a993,#e3cca9,#faebca
241466.png,cubism,#2c2621,#464336,#761b0d,#b3770a,#bbb499,#d2930a,#eae1d2
101541.png,cubism,#0710a9,#08060c,#2b3247,#6d7e97,#b06800,#d12b11,#e99644
267649.png,cubism,#100c05,#4298af,#846c2f,#b80e00,#d0b020,#e8dbbd,#fc7e42
331776.png,cubism,#322825,#5c744c,#935324,#b6a521,#eedca7,#ff6523,#ffaa06
293106.png,cubism,#252e29,#404939,#5f757d,#6f5a44,#7e8480,#b5ae99,#c9c2a8
177205.png,cubism,#1b1f1d,#54524c,#86847c,#edd8d5,#f9974e,#fd5113,#fefefe
177599.png,cubism,#3e3636,#752e22,#83736b,#914831,#b37b4a,#cdb4a6,#f5ede2
393992.png,cubism,#16151c,#2a618b,#4b8a4f,#71664f,#9e937a,#bd4018,#c2b8b7
315525.png,cubism,#09410f,#0c0907,#546722,#7da2a5,#a21900,#b25a14,#e0d5af
82858.png,cubism,#020000,#2f3c79,#81571e,#991d17,#b78524,#d7b650,#efebe6
374776.png,cubism,#3a344a,#6d6c90,#939da6,#b28753,#b7bbc7,#e7a93c,#f2f4f1
